网络民族主义、市民社会与中国外交	王军	《世界经济与政治》	中央民族大学中国民族理论与民族政策研究院;	2010	网络民族主义;公共领域;市民社会构造;中国外交
大麦耐湿性鉴定指标和评价方法研究	王军;周美学;许如根;吕超;黄祖六	《中国农业科学》	扬州大学江苏省作物遗传生理重点实验室/扬州大学大麦研究所	2007	大麦;DH群体;耐湿性;主成分分析;动态聚类;综合评价
试析当代中国的网络民族主义	王军	《世界经济与政治》	 	2006	网络;网络民族主义;市民社会;中国外交
学习好  宣传好  贯彻好新会计准则  全面提升会计工作在经济社会发展中的服务效能	王军	《会计研究》	财政部	2006	会计准则体系;国际会计准则理事会;企业会计准则;企业会计制度;经济社会发展;会计工作;准则规范;服务效能;会计信息质量;国际趋同
社会运动视野下的加泰罗尼亚独立公投	王军;王阳	《中央民族大学学报(哲学社会科学版)》	中央民族大学民族学与社会学学院	2018	社会运动;独立公投;民族主义;加泰罗尼亚
人民币加入SDR货币篮子及其影响	王军辉	《全球化》	中国人寿保险(集团)公司;中国人寿资产管理有限公司党委;国寿投资控股有限公司党委;	2017	特别提款权;货币篮子;人民币
基于文献计量的科学创造力评价研究综述	王军辉;谭宗颖	《图书情报工作》	中国科学院文献情报中心;中国科学院大学;中国医学科学院医学信息研究所;	2017	文献计量;创造力;科学创造力;新颖性;有用性
煤矿复垦生物多样性保护与恢复研究进展	王军;李红涛;郭义强;王平安	《地球科学进展》	国土资源部土地整治中心土地整治重点实验室;中国地质大学土地科学技术学院;	2016	生物多样性;胁迫梯度;保护规划;土壤改良;植被重建
日本环境政策评估的体系化建设与实践	王军锋;关丽斯;董战峰	《现代日本经济》	南开大学循环经济与低碳发展研究中心;环境保护部环境规划院;	2016	日本;环境政策评估;实践;实施框架;体系化建设
国家教师资格统一考试对职前教师教育的影响	王军	《高校教育管理》	北京师范大学教师教育研究中心;	2015	教师资格统一考试;职前教师教育;教师教育体系;教师质量
人格混同与法人独立地位之否认——评最高人民法院指导案例15号	王军	《北方法学》	中国政法大学;	2015	人格混同;法人;类推适用;关联公司
网络环境下知识组织规范研究与设计	王军;卜书庆	《中国图书馆学报》	北京大学信息管理系;国家图书馆;	2012	NKOS;SKOS;数字图书馆;受控表;本体;分众分类法
利用分子标记辅助选择聚合水稻抗病基因Pi-ta、Pi-b和Stv-b~i	王军;杨杰;陈志德;范方军;朱金燕;杨金欢;仲维功	《作物学报》	江苏省农业科学院粮食作物研究所/国家水稻改良中心南京分中心;	2011	水稻;稻瘟病;条纹叶枯病;Pi-ta;Pi-b;Stv-bi;分子标记辅助选择
基于SWAT模型的祁连山区最佳水源涵养植被模式研究——以石羊河上游杂木河流域为例	王军德;李元红;李赞堂;高菁;金彦兆;胡想全;黄津辉	《生态学报》	甘肃省水利科学研究院;中国水利学会;加拿大土木工程学会;	2010	祁连山区;最佳水源涵养;植被模式;SWAT模型
生物技术与葡萄遗传育种	王军	《中国农业科学》	东北林业大学林学院/林木遗传育种与生物技术教育部重点实验室;	2009	葡萄;育种;DNA标记;遗传图;遗传转化
