对我国二代卫星导航系统覆盖范围向北扩展星座方案的探讨	刘根友;郝晓光;陈晓峰;孙保琪;彭碧波;周旭华;柳林涛;胡小刚	《大地测量与地球动力学》	中国科学院测量与地球物理研究所	2007	二代卫星导航系统;覆盖范围;向北扩展;星座方案;IGSO
基于优化包络相关法的罗兰C天波延迟估计算法	吴苗;柳林涛;边少锋;苏晓庆;王国成	《测绘学报》	中国科学院测量与地球物理研究所动力大地测量学重点实验室;中国科学院研究生院;海军工程大学导航工程系;	2012	罗兰C;天波延迟;包络相关;相关系数
中温固体氧化物燃料电池Sc掺杂锰酸锶镧阴极材料	岳响玲;柳林;张敏;杨敏;董永来;程谟杰	《催化学报》	中国科学院大连化学物理研究所;中国科学院研究生院;	2009	中温固体氧化物燃料电池;钪;锰酸锶镧;复合阴极材料;氧化钪;氧空位
粗差检定的两种途径	刘根友;郝晓光;柳林涛	《大地测量与地球动力学》	中国科学院测量与地球物理研究所	2005	平差因子;粗差;准观测值;部分最小二乘法;拟准检定法
石墨型氮化碳对氨硼烷放氢性能的影响	张静;何腾;刘彬;柳林;赵泽伦;胡大强;鞠晓花;吴国涛;陈萍	《催化学报》	中国科学院大连化学物理研究所;	2013	氨硼烷;氮化碳;脱氢;硼氢化锂
基于小波分析的等高线数据压缩模型	朱长青;王玉海;李清泉;柳林涛	《中国图象图形学报》	中国科学院测量与地球物理研究所	2004	小波分析;等高线数据压缩;边界处理;特征点追踪
中国近海海平面季节尺度变化的时频分析	詹金刚;王勇;柳林涛	《地球物理学报》	中国科学院测量与地球物理研究所	2003	小波变换;海平面变化;中国近海;卫星测高;验潮站
利用Landsat热红外影像探测地下煤火区范围——以乌达煤田为例	张志敏;江利明;柳林;汪汉胜	《测绘通报》	中国科学院测量与地球物理研究所大地测量与地球动力学国家重点实验室;中国科学院大学;华中科技大学物理学院;	2018	Landsat;乌达煤火;热红外遥感;地表温度
我国近海1992～2006年海平面变化的小波分析	詹金刚;王勇;许厚泽;郝晓光;柳林涛	《测绘学报》	中国科学院动力大地测量学重点实验室;中国科学院研究生院;	2008	标准Morlet小波变换;信号提取;海平面上升;验潮站
Moho面扰动重力梯度信息的提取	叶周润;柳林涛;梁星辉	《测绘学报》	中国科学院大学;中国科学院测量与地球物理研究所大地测量与地球动力学国家重点实验室;地理信息工程国家重点实验室;	2015	GOCE;Moho;重力梯度提取
